FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000211	3	9	11	3	13	6	9	10	5	7	9	9	6	4	5	6	7	7	7	7	7	8	7	7	7	8	8
OG0000212	0	0	1	2	2	2	0	0	0	0	0	2	3	92	4	3	2	2	2	2	2	1	0	2	0	2	0
OG0000213	4	13	7	4	10	6	10	5	11	6	6	7	9	5	5	6	7	7	7	7	7	7	7	7	7	7	6
OG0000214	6	10	7	8	11	6	9	2	8	12	6	5	7	6	5	6	6	6	7	7	7	7	7	8	6	6	8
OG0000215	1	23	37	0	0	0	40	0	0	0	0	1	0	1	1	1	1	1	3	3	3	13	13	0	0	1	0
OG0000217	7	10	5	9	8	5	6	8	3	6	8	11	4	12	5	6	6	6	6	6	6	6	7	8	6	7	7
OG0000218	4	6	3	18	12	5	9	6	7	5	6	9	9	3	4	6	6	6	6	6	6	5	5	12	6	6	6
OG0000219	6	9	13	8	7	6	7	2	1	11	8	5	7	12	5	6	6	6	7	7	7	8	8	7	3	6	8
OG0000222	1	12	3	3	11	8	9	6	5	8	10	8	12	5	5	7	7	7	7	7	7	6	6	7	6	7	8
OG0000223	5	5	4	7	18	3	8	4	13	2	8	5	18	1	4	6	6	6	6	6	6	5	5	9	6	6	6
OG0000224	3	3	6	11	7	2	6	6	10	8	14	12	10	3	4	6	6	6	6	6	6	5	3	7	7	8	10
OG0000225	11	13	9	11	2	7	7	10	3	6	8	7	0	7	4	4	6	6	7	7	7	9	11	7	6	7	7
OG0000226	9	12	6	8	8	8	7	8	3	6	7	7	7	5	5	6	6	6	7	8	8	8	9	8	6	6	6
OG0000228	8	11	7	10	9	7	7	5	6	6	6	6	5	7	5	6	6	6	7	8	8	8	9	9	6	6	6
OG0000229	3	19	10	0	12	4	10	3	8	11	5	5	7	3	4	5	6	6	7	7	7	9	9	7	6	6	7
OG0000235	3	7	5	9	9	4	5	18	3	10	9	7	9	1	4	6	6	6	6	6	6	6	6	8	7	7	9
OG0000236	0	5	2	7	9	6	18	11	6	8	8	8	6	5	5	6	7	7	7	7	7	4	4	7	7	7	8
OG0000243	0	15	13	2	10	6	12	8	4	6	7	6	6	3	4	5	6	6	7	7	7	9	9	7	6	6	6
OG0000247	7	9	9	12	9	6	6	7	3	6	6	9	0	8	4	4	6	6	6	7	8	8	8	9	6	6	6
