FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000269	0	3	-1	-1	1	-1	0	0	-3	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	-1	0	0
OG0000271	-5	0	17	-4	6	-3	1	-5	17	-1	0	-1	1	11	0	0	0	1	0	0	0	1	-1	0	0	-3	0
OG0000272	-6	0	69	0	0	-1	2	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	6	-2	-1	-1	-1	0
OG0000273	0	-1	2	0	1	0	2	2	-2	0	1	-1	-2	-2	0	0	3	0	1	0	0	1	0	0	0	0	1
OG0000274	-7	8	4	0	-1	0	0	0	1	2	-1	2	-3	-1	0	1	1	0	0	0	0	3	0	0	0	2	2
OG0000275	-1	3	-2	0	2	0	1	0	-1	0	0	2	-3	-1	0	1	2	0	2	0	0	0	0	1	-1	3	1
OG0000277	-3	2	-2	1	1	-4	5	1	-3	-2	1	6	4	11	0	0	0	0	0	0	0	-2	0	2	0	1	0
OG0000278	-1	5	-4	1	1	0	2	0	1	0	-1	1	2	-2	0	1	0	0	1	0	0	0	0	4	0	0	0
OG0000280	-3	6	-4	2	-1	-2	1	0	0	2	-1	5	1	-2	0	1	0	0	0	0	0	0	0	1	1	3	1
OG0000281	0	0	0	4	3	0	0	1	-1	-2	4	1	-1	-1	0	1	1	0	0	0	0	-2	0	8	0	1	0
OG0000284	-1	3	0	2	0	-2	0	9	-4	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0
OG0000285	-1	1	-1	0	0	-2	25	-2	0	0	0	0	-2	50	0	-1	0	0	0	0	0	-1	0	0	0	-2	0
OG0000288	-4	4	2	-5	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
OG0000289	-4	2	-3	0	3	-1	-1	2	0	0	0	0	4	-3	0	2	0	0	0	0	0	-2	0	4	2	0	0
OG0000290	-2	2	0	0	1	0	1	0	0	3	0	2	7	-3	0	1	0	0	0	-1	0	0	0	0	-1	3	3
OG0000291	0	0	0	5	11	1	1	-3	2	-2	0	-2	0	-1	0	0	0	0	2	1	0	-6	0	17	0	-1	0
OG0000292	-2	1	1	-4	4	-2	1	0	-2	-1	0	0	9	-1	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000293	-3	1	5	0	0	-2	1	0	-1	1	0	-1	7	-3	0	1	0	0	0	1	0	2	0	0	0	0	0
OG0000294	-3	5	0	0	2	-1	0	5	-3	3	-2	1	0	-2	0	1	1	0	0	0	0	0	0	3	1	1	1
